2020-01-25 22:44:17.344571:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_44_17.png---
2020-01-25 22:48:34.095462:	I
2020-01-25 22:48:34.213696:	T
2020-01-25 22:48:34.768790:	 
2020-01-25 22:48:35.018595:	P
2020-01-25 22:48:35.107899:	U
2020-01-25 22:48:35.212737:	S
2020-01-25 22:48:35.313551:	H
2020-01-25 22:48:35.476301:	 
2020-01-25 22:48:35.568191:	O
2020-01-25 22:48:35.663660:	R
2020-01-25 22:48:35.813770:	I
2020-01-25 22:48:35.876520:	G
2020-01-25 22:48:35.946737:	I
2020-01-25 22:48:36.091930:	N
2020-01-25 22:48:36.229144:	 
2020-01-25 22:48:36.365379:	M
2020-01-25 22:48:36.448791:	A
2020-01-25 22:48:36.739390:	S
2020-01-25 22:48:36.874095:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_48_36.png---
2020-01-25 22:48:36.921403:	T
2020-01-25 22:48:36.997654:	E
2020-01-25 22:48:37.130818:	R
2020-01-25 22:48:52.047663:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_48_51.png---
2020-01-25 22:49:07.222615:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_49_07.png---
2020-01-25 22:49:22.393009:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_49_22.png---
2020-01-25 22:49:37.561210:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_49_37.png---
2020-01-25 22:49:52.719298:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_49_52.png---
2020-01-25 22:50:07.887649:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_50_07.png---
2020-01-25 22:50:23.045885:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_50_22.png---
2020-01-25 22:50:38.202514:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_50_38.png---
2020-01-25 22:50:53.375396:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_50_53.png---
2020-01-25 22:51:08.546192:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_51_08.png---
2020-01-25 22:51:21.208516:	<ENTER>

2020-01-25 22:51:23.719621:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_51_23.png---
2020-01-25 22:51:25.394734:	½
2020-01-25 22:51:31.296983:	»
2020-01-25 22:51:42.548348:	--PROGRAM STARTED--
2020-01-25 22:51:42.735811:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_51_42.png---
2020-01-25 22:51:52.563863:	½
2020-01-25 22:51:52.735629:	¢
